,Intervals,P.M,P.H,C.M,C.H,B.M,B.H,Anova.Grouping,DDC.grouping,P.M_CI,P.H_CI,C.M_CI,C.H_CI,B.M_CI,B.H_CI,P.D,P.DC,C.D,C.DC,B.D,B.DC,MH.grouping,P.D_CI,P.DC_CI,C.D_CI,C.DC_CI,B.D_CI,B.DC_CI
22,10.5,1.56,1.63,1.63,1.19,1.5,1.56,5,Diotic,0.36,0.4,0.4,0.2,0.3,0.4,1.56,1.88,1.63,1.81,1.5,1.63,Melodic,0.36,0.4,0.4,0.44,0.3,0.3
23,11,1.88,1.94,1.88,1.56,2,1.75,3,Diotic,0.34,0.42,0.46,0.36,0.4,0.38,1.88,1.75,1.88,1.81,2,1.81,Melodic,0.34,0.34,0.46,0.36,0.4,0.44
24,11.5,1.56,1.44,1.63,1.06,1.56,1.38,5,Diotic,0.4,0.3,0.34,0.12,0.4,0.34,1.56,1.5,1.63,1.63,1.56,1.69,Melodic,0.4,0.3,0.34,0.34,0.4,0.38
25,12,2.94,2.94,3.56,3.5,3.06,3.06,1,Diotic,0.42,0.42,0.24,0.36,0.32,0.38,2.94,3.13,3.56,3.38,3.06,3.25,Melodic,0.42,0.46,0.24,0.34,0.32,0.38
26,0,2.94,3.06,3.75,3.56,3.19,3.06,2,Dichotic,0.48,0.38,0.28,0.3,0.48,0.38,3,3.06,3.44,3.56,2.88,3.06,Harmonic,0.36,0.38,0.3,0.3,0.42,0.38
27,0.5,1.94,1.63,1.44,1.5,1.81,1.69,6,Dichotic,0.42,0.34,0.24,0.4,0.36,0.34,1.63,1.63,1.63,1.5,1.81,1.69,Harmonic,0.3,0.34,0.42,0.4,0.4,0.34
28,1,2.56,1.75,1.94,1.38,2.44,1.81,4,Dichotic,0.36,0.46,0.38,0.24,0.4,0.48,2,1.75,1.38,1.38,1.75,1.81,Harmonic,0.3,0.46,0.3,0.24,0.42,0.48
29,1.5,1.94,1.88,1.81,1.44,1.81,1.63,6,Dichotic,0.38,0.4,0.32,0.3,0.4,0.34,1.63,1.88,1.38,1.44,1.38,1.63,Harmonic,0.34,0.4,0.3,0.3,0.3,0.34
30,2,2.81,2.19,2.88,1.94,2.67,2.13,4,Dichotic,0.5,0.44,0.5,0.32,0.52,0.46,2.63,2.19,1.94,1.94,2.25,2.13,Harmonic,0.5,0.44,0.42,0.32,0.46,0.46
31,2.5,1.56,2.31,1.56,2.19,1.63,2.13,6,Dichotic,0.24,0.38,0.36,0.44,0.3,0.3,2.25,2.31,1.63,2.19,2.06,2.13,Harmonic,0.46,0.38,0.34,0.44,0.38,0.3
32,3,2.56,3.06,2.38,2.63,2.44,2.75,4,Dichotic,0.3,0.38,0.42,0.34,0.3,0.38,3.13,3.06,3,2.63,3.13,2.75,Harmonic,0.42,0.38,0.54,0.34,0.42,0.38
33,3.5,2.06,2.25,2.13,2.38,2.06,2.13,6,Dichotic,0.46,0.46,0.42,0.5,0.38,0.42,2,2.25,1.69,2.38,1.81,2.13,Harmonic,0.44,0.46,0.24,0.5,0.48,0.42
34,4,2.44,3.19,2.88,3.69,2.56,3.25,2,Dichotic,0.44,0.36,0.42,0.34,0.5,0.38,3.38,3.19,3.81,3.69,3.56,3.25,Harmonic,0.34,0.36,0.26,0.34,0.3,0.38
35,4.5,1.88,2.13,1.75,2.13,1.88,2.13,6,Dichotic,0.34,0.3,0.28,0.24,0.4,0.34,1.94,2.13,1.5,2.13,1.75,2.13,Harmonic,0.48,0.3,0.3,0.24,0.42,0.34
36,5,2.69,2.81,2.81,3.19,2.5,2.63,2,Dichotic,0.5,0.48,0.48,0.4,0.56,0.46,3.44,2.81,3.56,3.19,3.63,2.63,Harmonic,0.3,0.48,0.36,0.4,0.24,0.46
37,5.5,1.88,2,2.06,1.94,2.06,1.94,6,Dichotic,0.5,0.36,0.46,0.42,0.52,0.42,1.75,2,1.5,1.94,1.81,1.94,Harmonic,0.38,0.36,0.4,0.42,0.48,0.42
38,6,2.06,2.63,2.13,2.56,2.13,2.56,4,Dichotic,0.46,0.3,0.34,0.36,0.42,0.24,3,2.63,2.56,2.56,3,2.56,Harmonic,0.36,0.3,0.46,0.36,0.4,0.24
39,6.5,1.94,1.94,2.06,2.06,1.81,1.88,6,Dichotic,0.42,0.28,0.32,0.38,0.36,0.34,1.63,1.94,1.19,2.06,1.44,1.88,Harmonic,0.4,0.28,0.2,0.38,0.36,0.34
40,7,3.44,3,3.69,3.31,3.5,3.25,2,Dichotic,0.36,0.44,0.3,0.46,0.3,0.34,3.31,3,3.5,3.31,3.44,3.25,Harmonic,0.38,0.44,0.44,0.46,0.4,0.34
41,7.5,2.06,2.13,1.81,1.81,2,1.94,6,Dichotic,0.46,0.42,0.36,0.32,0.46,0.46,2.13,2.13,1.69,1.81,1.81,1.94,Harmonic,0.42,0.42,0.34,0.32,0.4,0.46
42,8,2.13,2.69,2.06,2.44,2,2.69,2,Dichotic,0.4,0.42,0.46,0.46,0.4,0.42,3.06,2.69,2.81,2.44,3,2.69,Harmonic,0.38,0.42,0.48,0.46,0.4,0.42
43,8.5,1.88,2.38,1.94,2.25,1.88,2.25,6,Dichotic,0.46,0.5,0.32,0.52,0.46,0.48,1.88,2.38,1.81,2.25,1.81,2.25,Harmonic,0.42,0.5,0.44,0.52,0.4,0.48
44,9,2.88,2.81,3,3.06,3,2.75,2,Dichotic,0.46,0.48,0.4,0.48,0.44,0.42,3.31,2.81,3.38,3.06,3.38,2.75,Harmonic,0.38,0.48,0.4,0.48,0.4,0.42
45,9.5,1.88,2.5,1.63,1.81,1.81,2.25,6,Dichotic,0.42,0.54,0.4,0.4,0.44,0.54,2,2.5,1.75,1.81,1.88,2.25,Harmonic,0.44,0.54,0.38,0.4,0.4,0.54
46,10,2,1.94,2,2.25,1.94,2,4,Dichotic,0.54,0.38,0.4,0.38,0.48,0.26,2.5,1.94,2.25,2.25,2.38,2,Harmonic,0.5,0.38,0.48,0.38,0.46,0.26
47,10.5,1.88,1.81,1.81,1.75,1.63,1.56,6,Dichotic,0.4,0.48,0.44,0.38,0.3,0.36,1.63,1.81,1.19,1.75,1.56,1.56,Harmonic,0.4,0.48,0.2,0.38,0.4,0.36
48,11,1.75,2.06,1.81,1.75,1.81,1.88,4,Dichotic,0.34,0.38,0.36,0.28,0.44,0.4,1.94,2.06,1.56,1.75,1.75,1.88,Harmonic,0.42,0.38,0.36,0.28,0.38,0.4
49,11.5,1.5,1.75,1.63,1.63,1.69,1.56,6,Dichotic,0.3,0.34,0.34,0.42,0.38,0.36,1.44,1.75,1.06,1.63,1.38,1.56,Harmonic,0.3,0.34,0.12,0.42,0.34,0.36
50,12,3.13,3.19,3.38,3.63,3.25,3.13,2,Dichotic,0.46,0.36,0.34,0.3,0.38,0.4,2.94,3.19,3.5,3.63,3.06,3.13,Harmonic,0.42,0.36,0.36,0.3,0.38,0.4
